messages	label	predictions
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The 30-year-old husband, who was born in Buffalo, was one of the four killed in the shooting, but his wife was not hurt.\nSantali:'}]	ᱵᱟᱯᱷᱮᱞᱳ ᱫᱚ ᱡᱟᱱᱟᱢ ᱟᱠᱟᱱ ᱓᱐ ᱥᱮᱨᱢᱟ ᱡᱟᱶᱟᱭ, ᱜᱳᱠᱤ ᱢᱟᱨᱟᱣ ᱠᱷᱚᱱ ᱜᱚᱡ ᱟᱠᱟᱱ ᱯᱩᱱ ᱦᱚᱲ ᱨᱮ ᱢᱤᱫ ᱣ ᱮ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱩᱱᱤ ᱨᱤᱱ ᱵᱟᱦᱩ ᱪᱮᱫ ᱦᱚᱸ ᱵᱟᱭ ᱪᱤᱠᱟᱹ ᱞᱮᱱᱟ᱾	Buffalo re boro 30 barsha jiwon, jake shooting re koyel 4 jiwon jen, kintu jiwon re jiyon koyel nai.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Many tickets sold online through auction websites such as eBay or Craigslist are partially used multi-day park-hopper tickets.\nSantali:'}]	ᱱᱤᱞᱟᱹᱢ ᱣᱮᱵᱽᱥᱟᱹᱭᱤᱴ ᱡᱮᱢᱚᱱ ᱤᱵᱮᱭ ᱟᱨ ᱠᱨᱟᱭᱜᱽᱥᱞᱤᱥᱴ ᱦᱟᱛᱮᱛᱮ ᱚᱱᱞᱟᱹᱱ ᱟᱹᱠᱷᱨᱤᱧ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱟᱜ ᱟᱹᱰᱤᱜᱟᱱ ᱴᱤᱠᱤᱴ ᱫᱚ ᱟᱝᱥᱤᱠ ᱨᱩᱯ ᱛᱮ ᱟᱭᱢᱟ-ᱢᱟᱦᱟᱸᱣᱟᱜ ᱯᱟᱨᱠ-ᱦᱳᱯᱚᱨ‌ ᱴᱤᱠᱤᱴ ᱠᱚ ᱵᱮᱵᱷᱟᱨᱟ᱾	Ebay or Craigslist website re online jharkariya jharkariya tiket aamne aamne jharkariya tiket aamne.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.\nSantali:'}]	ᱚᱛᱮ ᱢᱟᱦᱟᱸ ᱦᱤᱞᱚᱜ, ᱥᱴᱟᱱᱯᱷᱚᱨᱰ ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱟᱥᱲᱟ ᱨᱮᱭᱟᱜ ᱢᱮᱰᱤᱥᱤᱱ ᱥᱟᱬᱮᱥᱤᱭᱟᱹ ᱠᱚ ᱞᱟ.ᱭ ᱯᱟᱥᱱᱟᱣ ᱠᱮᱜ-ᱟ ᱡᱮ, ᱟᱠᱚ ᱢᱤᱫ ᱰᱟᱭᱜᱽᱱᱚᱥᱴᱤᱠ ᱴᱳᱞ ᱠᱚ ᱵᱮᱱᱟᱣ ᱟᱠᱟᱫᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱥᱮᱞ ᱠᱚ ᱟᱡᱟᱜ ᱵᱷᱮᱜᱟᱨ ᱞᱮᱠᱟᱛᱮ ᱥᱟᱯᱲᱟᱣ ᱠᱚᱣᱟᱭᱺ ᱢᱤᱫ ᱦᱩᱰᱤᱧ ᱯᱨᱤᱱᱴᱵᱚᱞ ᱪᱤᱯ ᱡᱟᱦᱟᱸ ᱫᱚ ᱥᱴᱟᱱᱰᱟᱰ ᱤᱱᱡᱮᱠᱴ ᱯᱨᱤᱱᱴᱚᱨ ᱛᱮ ᱢᱤᱫ ᱭᱩᱹᱮᱥᱹ ᱯᱩᱭᱥᱟᱹ ᱛᱮ ᱵᱮᱱᱟᱣ ᱜᱟᱱᱚᱜ-ᱟ᱾	Sombar, Stanford University School of Medicine ra scientist'ra nawa diagnostic tool'ra chalak korte aam dohokat'ra chip'ra janan korte aam dohokat'ra inkjet printer'ra jorat'ra banakat'ra kore aam dohokat'ra ekta nawa upkaran'ra chalak korte aam dohokat'ra.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The disadvantage of zoom lenses is that the focal complexity and number of lens elements required to achieve a range of focal lengths is much greater than for prime lenses.\nSantali:'}]	ᱡᱩᱢ ᱞᱮᱸᱥ ᱨᱮᱱᱟᱜ ᱱᱩᱠᱥᱟᱱ ᱱᱚᱶᱟ ᱠᱟᱱᱟ ᱡᱮ ᱯᱷᱚᱠᱟᱞ ᱡᱮᱞᱮᱝ ᱨᱮᱱᱟᱝ ᱥᱤᱢᱟ ᱧᱟᱢ ᱞᱟᱹᱜᱤᱫ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱯᱷᱚᱠᱟᱞ ᱡᱟᱴᱤᱞᱛᱟ ᱟᱨ ᱞᱮᱸᱥ ᱛᱟᱛᱣᱚ ᱨᱮᱱᱟᱜ ᱮᱞᱮᱞ ᱯᱨᱟᱭᱤᱢ ᱞᱮᱸᱥ ᱨᱮᱱᱟᱜ ᱛᱩᱞ ᱨᱮ ᱟᱹᱰᱤ ᱵᱟᱹᱲᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ᱾	Zoom lens aamdo aamdo kanaan aar aamdo lens element aar focal length range aar jonno lens element aar focal complexity aar number aar requirement aamdo prime lens aar jonno beshi.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: If you get hurt trying to help, you may only serve to make matters worse.\nSantali:'}]	ᱡᱩᱫᱤ ᱟᱢ ᱜᱚᱲᱚ ᱨᱮᱭᱟᱜ ᱪᱮᱥᱴᱟ ᱨᱮᱢ ᱵᱟᱡᱟᱜᱼᱟ, ᱟᱢ ᱫᱚ ᱥᱛᱷᱤᱛᱤ ᱟᱨᱦᱚᱸ ᱵᱟᱹᱨᱤᱡ ᱨᱮᱭᱟᱜ ᱮᱢ ᱠᱟᱹᱢᱤᱭᱮᱫᱟ᱾	Hapam aamne aadim aamne kanaam, aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne aamne a
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.\nSantali:'}]	ᱢᱟᱬᱟᱝ-ᱟᱱ ᱥᱮᱱᱫᱽᱨᱟᱠᱤᱭᱟᱹ ᱠᱚᱣᱟᱜ ᱢᱮᱱ ᱫᱚ ᱠᱷᱟᱴᱚ ᱟᱨᱡᱟᱣ ᱫᱤᱥᱚᱢ ᱠᱚᱨᱮ ᱱᱚᱶᱟ ᱫᱚ ᱟᱡᱟᱨᱤᱭᱟᱹ ᱠᱚᱣᱟᱜ ᱠᱮᱱᱥᱟᱨ, ᱴᱭᱩᱵᱮᱨᱠᱭᱩᱞᱚᱥᱤᱥ, ᱮᱪ.ᱟᱭ.ᱵᱷᱤ. ᱟᱨ ᱢᱮᱞᱮᱨᱤᱭᱟᱹ ᱠᱚᱭ ᱥᱟᱵᱽ-ᱟ, ᱡᱟᱦᱟᱸ ᱨᱮ ᱵᱨᱮᱥᱴ ᱠᱮᱱᱥᱟᱨ ᱛᱮ ᱜᱩᱡᱩᱜ ᱦᱚᱲ ᱠᱤᱥᱟᱹᱬ ᱫᱤᱥᱚᱢ ᱠᱷᱚᱱ ᱟᱫᱷᱟᱜ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜ-ᱟ᱾	"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.
Santali: ᱵᱮᱨᱟᱹᱭᱤᱠᱟᱹᱛ ᱥᱟᱦᱮᱨᱟᱹᱛ ᱠᱚᱞᱟᱹᱛ ᱨᱮᱱᱟᱹᱛᱤ ᱨᱮᱱᱟᱹᱛ ᱥᱟᱦᱮᱨᱟᱹᱛ ᱛᱟᱹᱰᱤᱭᱟᱹᱛ ᱨᱮᱱᱟᱹᱛ ᱥᱟᱦᱮᱨᱟᱹᱛ ᱡᱟᱹᱭᱤᱠᱟᱹᱛ ᱥᱟᱦᱮᱨᱟᱹᱛ ᱥᱟᱦᱮᱨᱟᱹᱛᱤ ᱠᱚᱞᱟᱹᱛ ᱥᱟᱦᱮᱨᱟᱹᱛ ᱥᱟᱦᱮᱨᱟᱹᱛᱤ ᱨᱮᱱᱟᱹᱛ ᱥᱟᱦᱮᱨᱟᱹᱛ ᱡᱟᱹᱭᱤᱠᱟᱹᱛ ᱥᱟᱦᱮᱨᱟᱹᱛ ᱥᱟ"
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Canyoning (or: canyoneering) is about going in a bottom of a canyon, which is either dry or full of water.\nSantali:'}]	ᱠᱮᱱᱭᱚᱱᱤᱝ (ᱟᱨ ᱵᱟᱝ: ᱠᱮᱱᱭᱚᱱᱟᱹᱨᱤᱝ) ᱢᱤᱫᱴᱟᱹᱝ ᱜᱷᱟᱹᱴᱤ ᱞᱟᱛᱟᱨ ᱨᱮ ᱪᱟᱞᱟᱣᱜ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ, ᱚᱠᱟ ᱫᱚ ᱫᱟᱜ ᱛᱮ ᱯᱮᱨᱮᱡ ᱠᱟᱱᱟ᱾	Canyoning (or: canyoneering) hārāk bākān tākān jiyār, jahān tān kānīn tān ānār.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: One of the most prominent apps in this category is Google Translate, which allows offline translation after downloading the desired language data.\nSantali:'}]	ᱱᱚᱣᱟ ᱛᱷᱚᱠ ᱨᱮ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱧᱩᱛᱩᱢᱟᱱ ᱮᱯᱥ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱜᱩᱜᱩᱞ ᱴᱨᱟᱱᱥᱞᱮᱴ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱞᱟᱹᱠᱛᱤᱜᱠᱟᱱ ᱯᱟᱹᱨᱥᱤ ᱰᱮᱴᱟ ᱰᱟᱣᱩᱱᱞᱳᱰ ᱠᱟᱛᱮ ᱚᱯᱷᱞᱟᱭᱤᱱ ᱛᱚᱨᱡᱚᱢᱟ ᱨᱮᱭᱟᱜ ᱫᱟᱣ ᱮᱢᱚᱜᱼᱟᱭ᱾	Eso Google Translate app juriya baha, jahar kana bhasa data download kore aamge offline translation kore.
[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.\nSantali:'}]	ᱥᱮᱛᱟᱜ ᱙:᱓᱐ ᱴᱚᱴᱷᱟᱠᱤᱭᱟᱹ ᱚᱠᱛᱚ (᱐᱒᱓᱐ UTC) ᱨᱮ JAS ᱓᱙C Gripen ᱨᱚᱱᱣᱮ ᱨᱮ ᱧᱩᱨᱮᱱᱟ ᱟᱨ ᱚᱴᱮᱡ ᱮᱱᱟ, ᱚᱱᱟᱛᱮ ᱡᱷᱚᱛᱚ ᱠᱚᱢᱚᱨᱥᱤᱭᱟᱞ ᱩᱰᱟᱹᱱ ᱡᱟᱦᱟᱡᱽ ᱠᱚ ᱛᱷᱩᱠᱩᱢ ᱟᱠᱟᱱᱟ᱾	JAS 39C Gripen māṇi 9:30 am lokāla samay (0230 UTC) re runwey re aṛiṭe, aṛiṭe, kampānīyala pākār hātāṇe, āpārṭaṇa band kare.
"[{'role': 'user', 'content': 'This is an English to Santali translation, please provide the Santali translation for this sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""Luckily nothing happened to me, but I saw a macabre scene, as people tried to break windows in order to get out.\nSantali:'}]"	ᱵᱷᱟᱜᱭᱟ ᱨᱮ ᱤᱧ ᱪᱮᱫ ᱦᱚᱸ ᱵᱟᱹᱧ ᱪᱤᱠᱟᱹ ᱞᱮᱱᱟ, ᱦᱮᱞᱮ ᱤᱧ ᱢᱤᱫᱴᱟᱹᱝ ᱟᱹᱰᱤ ᱵᱟᱛᱚᱨ ᱡᱤᱱᱤᱥ ᱤᱧ ᱧᱮᱞ ᱠᱮᱜᱼᱟ, ᱪᱮᱫᱟᱜ ᱥᱮ ᱦᱚᱲ ᱠᱚ ᱵᱟᱦᱨᱮ ᱚᱰᱚᱠ ᱞᱟᱹᱜᱤᱫ ᱡᱷᱚᱨᱠᱟ ᱠᱚ ᱨᱟᱹᱯᱩᱫ ᱠᱮᱜᱼᱟ᱾	Kuriyam aamko kana hapa, hagom aamko kana jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam, jomok jaher aakatam
