	BLEU	spBLEU200	chrF2++	TER	SLR
ace_Arab	1.23	1.27	8.41	116.21	0.895
ace_Latn	4.05	4.98	19.82	98.77	0.755
acm_Arab	23.72	28.17	44.73	75.53	1.049
acq_Arab	24.88	29.25	47.03	77.15	1.113
aeb_Arab	19.93	24.23	40.99	78.8	1.105
afr_Latn	43.01	42.55	66.05	52.14	1.111
ajp_Arab	24.16	28.67	46.52	81.31	1.119
aka_Latn	2.74	3.27	13.04	106.51	0.627
als_Latn	33.78	33.63	56.0	56.22	1.058
amh_Ethi	3.86	3.52	10.03	108.77	1.061
apc_Arab	25.5	30.35	45.53	71.2	1.033
arb_Arab	33.21	37.6	53.79	62.91	1.062
arb_Latn	5.4	5.32	22.76	112.1	0.86
ars_Arab	31.63	35.9	52.43	65.22	1.072
ary_Arab	15.17	19.28	36.26	86.18	1.108
arz_Arab	22.01	26.25	42.32	78.36	1.06
asm_Beng	9.85	7.57	22.94	105.64	1.198
ast_Latn	32.61	31.34	53.83	55.75	1.009
awa_Deva	16.5	15.64	35.4	83.17	1.127
ayr_Latn	0.06	0.17	4.65	104.16	0.204
azb_Arab	1.25	1.37	6.38	110.39	1.042
azj_Latn	14.64	16.59	38.44	89.01	1.076
bak_Cyrl	8.28	5.46	20.08	108.05	0.959
bam_Latn	0.39	0.54	6.11	101.04	0.345
ban_Latn	9.26	10.62	30.16	93.71	1.058
bel_Cyrl	15.56	17.82	37.8	104.57	1.215
bem_Latn	1.46	1.84	10.54	109.2	0.514
ben_Beng	23.46	21.78	38.53	82.52	1.043
bho_Deva	12.2	11.88	29.71	88.97	1.203
bjn_Arab	2.0	1.96	10.43	107.4	0.872
bjn_Latn	8.85	9.9	35.45	92.44	1.318
bod_Tibt	0.6	0.26	12.47	185.07	2.424
bos_Latn	36.38	37.91	59.44	59.46	1.08
bug_Latn	4.27	5.16	23.26	97.38	1.206
bul_Cyrl	37.54	39.98	60.71	61.68	1.113
cat_Latn	47.89	47.76	65.38	43.14	1.025
ceb_Latn	29.12	27.99	51.03	56.21	0.97
ces_Latn	39.49	40.83	57.58	56.18	1.027
cjk_Latn	0.16	0.21	4.41	101.83	0.304
ckb_Arab	5.27	4.76	19.38	105.64	1.001
crh_Latn	5.17	5.91	27.79	98.84	1.244
cym_Latn	49.23	48.03	64.73	44.98	1.034
dan_Latn	47.23	47.85	68.94	49.47	1.112
deu_Latn	41.44	42.96	64.39	58.2	1.131
dik_Latn	0.18	0.19	4.63	101.49	0.244
dyu_Latn	0.21	0.49	4.51	105.96	0.337
dzo_Tibt	0.1	0.31	12.73	589.58	6.404
ell_Grek	30.59	33.35	51.14	68.97	1.13
eng_Latn	53.18	53.73	66.86	40.39	1.012
epo_Latn	40.17	37.89	58.5	51.8	1.001
est_Latn	32.5	32.09	56.04	73.07	1.12
eus_Latn	18.74	17.46	43.58	95.08	1.137
ewe_Latn	0.44	0.7	5.97	111.61	0.38
fao_Latn	18.19	16.6	39.95	81.22	1.144
fij_Latn	5.9	5.5	22.94	88.2	0.637
fin_Latn	34.3	35.78	56.25	63.27	1.028
fon_Latn	0.26	0.26	3.78	115.73	0.387
fra_Latn	55.6	56.38	71.12	38.0	1.023
fur_Latn	19.57	18.5	40.65	71.91	0.991
fuv_Latn	0.98	1.19	8.34	106.85	0.55
gaz_Latn	0.51	0.6	7.96	104.71	0.496
gla_Latn	18.94	15.48	38.92	79.57	0.999
gle_Latn	26.83	23.33	46.5	81.6	1.134
glg_Latn	40.1	39.4	61.28	49.19	1.038
grn_Latn	0.31	0.74	6.33	102.15	0.29
guj_Gujr	22.05	18.9	37.41	83.85	1.042
hat_Latn	27.08	24.51	47.02	64.27	0.994
hau_Latn	6.07	6.29	21.86	95.97	0.79
heb_Hebr	33.11	35.34	51.17	62.84	1.02
hin_Deva	28.7	26.86	48.29	73.39	1.132
hne_Deva	14.91	14.07	34.02	85.58	1.172
hrv_Latn	36.15	37.82	57.03	57.25	1.008
hun_Latn	32.62	34.76	54.64	63.89	1.027
hye_Armn	13.97	14.31	33.19	93.14	1.084
ibo_Latn	3.24	3.16	14.73	98.9	0.604
ilo_Latn	10.96	11.41	33.58	81.89	0.897
ind_Latn	48.49	48.75	68.51	38.93	1.011
isl_Latn	25.54	25.99	44.82	69.66	1.007
ita_Latn	36.34	37.0	59.29	59.35	1.076
jav_Latn	16.97	16.86	41.17	72.97	1.075
jpn_Jpan	31.85	28.36	32.86	104.91	1.107
kab_Latn	1.4	1.26	11.94	97.79	0.589
kac_Latn	0.03	0.04	2.95	104.45	0.199
kam_Latn	1.16	1.26	8.88	99.42	0.473
kan_Knda	19.69	18.62	37.89	89.79	1.07
kas_Arab	3.5	3.99	15.5	100.32	1.19
kas_Deva	2.65	2.31	12.9	110.54	1.309
kat_Geor	13.57	15.16	33.49	97.8	1.088
kaz_Cyrl	12.96	12.87	33.88	90.93	1.037
kbp_Latn	0.42	0.38	3.99	105.45	0.465
kea_Latn	12.73	13.02	37.56	76.78	1.115
khk_Cyrl	6.94	7.98	26.07	101.28	1.039
khm_Khmr	5.8	5.68	21.51	225.98	1.153
kik_Latn	1.11	0.88	8.84	111.53	0.477
kin_Latn	4.06	3.38	18.66	100.08	0.673
kir_Cyrl	8.85	8.44	25.78	101.2	0.962
kmb_Latn	0.36	0.39	4.93	100.48	0.343
kmr_Latn	9.07	8.29	25.3	90.26	0.813
knc_Arab	0.46	0.51	5.24	107.99	1.435
knc_Latn	2.17	2.61	13.38	100.91	0.935
kon_Latn	0.74	0.94	8.5	102.6	0.405
kor_Hang	27.7	25.62	34.43	78.0	1.046
lao_Laoo	4.34	3.35	20.71	198.3	1.004
