Lang	spBLEU100	spBLEU200	chrF	TER	SLR
ssw_Latn	6.46	5.77	24.11	96.44	0.793
sna_Latn	10.01	8.41	29.16	94.58	0.876
ckb_Arab	12.88	11.19	33.12	86.16	1.011
mag_Deva	27.55	24.78	44.64	67.94	1.019
ibo_Latn	11.53	9.84	27.73	87.91	0.932
hau_Latn	16.59	15.71	40.3	74.43	1.016
pbt_Arab	8.99	9.23	26.7	84.54	0.992
tam_Taml	20.83	20.88	42.73	84.53	1.032
kat_Geor	21.19	23.18	41.36	88.47	1.057
gle_Latn	36.85	32.83	52.96	63.56	1.016
kmr_Latn	16.01	14.34	34.34	82.05	0.986
war_Latn	29.88	28.45	53.99	53.69	1.009
ajp_Arab	27.33	32.24	48.42	69.54	1.017
lim_Latn	20.79	21.04	45.11	67.58	1.029
ukr_Cyrl	37.89	39.23	56.34	58.32	1.015
fra_Latn	56.59	57.3	71.73	36.84	1.017
lvs_Latn	37.21	36.66	57.28	59.34	1.03
ron_Latn	47.2	48.96	65.33	45.93	1.027
tpi_Latn	26.72	22.74	49.53	67.93	1.105
acm_Arab	25.25	29.48	46.53	73.05	1.063
